ini,end,wsize,mid_win,id
1571251,1581251,10000,1576251,211
1578751,1588751,10000,1583751,212
1586251,1596251,10000,1591251,213
1593751,1603751,10000,1598751,214
1601251,1611251,10000,1606251,215
1608751,1618751,10000,1613751,216
1616251,1626251,10000,1621251,217
1623751,1633751,10000,1628751,218
1631251,1641251,10000,1636251,219
1638751,1648751,10000,1643751,220
1646251,1656251,10000,1651251,221
1653751,1663751,10000,1658751,222
1661251,1671251,10000,1666251,223
1668751,1678751,10000,1673751,224
1676251,1686251,10000,1681251,225
1683751,1693751,10000,1688751,226
1691251,1701251,10000,1696251,227
1698751,1708751,10000,1703751,228
1706251,1716251,10000,1711251,229
1713751,1723751,10000,1718751,230
1721251,1731251,10000,1726251,231
1728751,1738751,10000,1733751,232
1736251,1746251,10000,1741251,233
1743751,1753751,10000,1748751,234
1751251,1761251,10000,1756251,235
1758751,1768751,10000,1763751,236
1766251,1776251,10000,1771251,237
1773751,1783751,10000,1778751,238
1781251,1791251,10000,1786251,239
1788751,1798751,10000,1793751,240
1796251,1806251,10000,1801251,241
1803751,1813751,10000,1808751,242
1811251,1821251,10000,1816251,243
1818751,1828751,10000,1823751,244
1826251,1836251,10000,1831251,245
1833751,1843751,10000,1838751,246
1841251,1851251,10000,1846251,247
1848751,1858751,10000,1853751,248
1856251,1866251,10000,1861251,249
1863751,1873751,10000,1868751,250
1871251,1881251,10000,1876251,251
1878751,1888751,10000,1883751,252
1886251,1896251,10000,1891251,253
1893751,1903751,10000,1898751,254
1901251,1911251,10000,1906251,255
1908751,1918751,10000,1913751,256
1916251,1926251,10000,1921251,257
1923751,1933751,10000,1928751,258
1931251,1941251,10000,1936251,259
1938751,1948751,10000,1943751,260
1946251,1956251,10000,1951251,261
1953751,1963751,10000,1958751,262
1961251,1971251,10000,1966251,263
1968751,1978751,10000,1973751,264
1976251,1986251,10000,1981251,265
1983751,1993751,10000,1988751,266
1991251,2001251,10000,1996251,267
1998751,2008751,10000,2003751,268
2006251,2016251,10000,2011251,269
2013751,2023751,10000,2018751,270
2021251,2031251,10000,2026251,271
2028751,2038751,10000,2033751,272
2036251,2046251,10000,2041251,273
2043751,2053751,10000,2048751,274
2051251,2061251,10000,2056251,275
2058751,2068751,10000,2063751,276
2066251,2076251,10000,2071251,277
2073751,2083751,10000,2078751,278
2081251,2091251,10000,2086251,279
2088751,2098751,10000,2093751,280
2096251,2106251,10000,2101251,281
2103751,2113751,10000,2108751,282
2111251,2121251,10000,2116251,283
2118751,2128751,10000,2123751,284
2126251,2136251,10000,2131251,285
2133751,2143751,10000,2138751,286
2141251,2151251,10000,2146251,287
2148751,2158751,10000,2153751,288
2156251,2166251,10000,2161251,289
2163751,2173751,10000,2168751,290
2171251,2181251,10000,2176251,291
2178751,2188751,10000,2183751,292
2186251,2196251,10000,2191251,293
2193751,2203751,10000,2198751,294
2201251,2211251,10000,2206251,295
2208751,2218751,10000,2213751,296
2216251,2226251,10000,2221251,297
2223751,2233751,10000,2228751,298
2231251,2241251,10000,2236251,299
2238751,2248751,10000,2243751,300
2246251,2256251,10000,2251251,301
2253751,2263751,10000,2258751,302
2261251,2271251,10000,2266251,303
2268751,2278751,10000,2273751,304
2276251,2286251,10000,2281251,305
2283751,2293751,10000,2288751,306
2291251,2301251,10000,2296251,307
2298751,2308751,10000,2303751,308
2306251,2316251,10000,2311251,309
2313751,2323751,10000,2318751,310
2321251,2331251,10000,2326251,311
2328751,2338751,10000,2333751,312
2336251,2346251,10000,2341251,313
2343751,2353751,10000,2348751,314
2351251,2361251,10000,2356251,315
2358751,2368751,10000,2363751,316
2366251,2376251,10000,2371251,317
2373751,2383751,10000,2378751,318
2381251,2391251,10000,2386251,319
2388751,2398751,10000,2393751,320
2396251,2406251,10000,2401251,321
2403751,2413751,10000,2408751,322
2411251,2421251,10000,2416251,323
2418751,2428751,10000,2423751,324
2426251,2436251,10000,2431251,325
2433751,2443751,10000,2438751,326
2441251,2451251,10000,2446251,327
2448751,2458751,10000,2453751,328
2456251,2466251,10000,2461251,329
2463751,2473751,10000,2468751,330
2471251,2481251,10000,2476251,331
2478751,2488751,10000,2483751,332
2486251,2496251,10000,2491251,333
2493751,2503751,10000,2498751,334
2501251,2511251,10000,2506251,335
2508751,2518751,10000,2513751,336
2516251,2526251,10000,2521251,337
2523751,2533751,10000,2528751,338
2531251,2541251,10000,2536251,339
2538751,2548751,10000,2543751,340
2546251,2556251,10000,2551251,341
2553751,2563751,10000,2558751,342
2561251,2571251,10000,2566251,343
2568751,2578751,10000,2573751,344
2576251,2586251,10000,2581251,345
2583751,2593751,10000,2588751,346
2591251,2601251,10000,2596251,347
2598751,2608751,10000,2603751,348
2606251,2616251,10000,2611251,349
2613751,2623751,10000,2618751,350
2621251,2631251,10000,2626251,351
2628751,2638751,10000,2633751,352
2636251,2646251,10000,2641251,353
2643751,2653751,10000,2648751,354
2651251,2661251,10000,2656251,355
2658751,2668751,10000,2663751,356
2666251,2676251,10000,2671251,357
2673751,2683751,10000,2678751,358
2681251,2691251,10000,2686251,359
2688751,2698751,10000,2693751,360
2696251,2706251,10000,2701251,361
2703751,2713751,10000,2708751,362
2711251,2721251,10000,2716251,363
2718751,2728751,10000,2723751,364
2726251,2736251,10000,2731251,365
2733751,2743751,10000,2738751,366
2741251,2751251,10000,2746251,367
2748751,2758751,10000,2753751,368
2756251,2766251,10000,2761251,369
2763751,2773751,10000,2768751,370
2771251,2781251,10000,2776251,371
2778751,2788751,10000,2783751,372
2786251,2796251,10000,2791251,373
2793751,2803751,10000,2798751,374
2801251,2811251,10000,2806251,375
2808751,2818751,10000,2813751,376
2816251,2826251,10000,2821251,377
2823751,2833751,10000,2828751,378
2831251,2841251,10000,2836251,379
2838751,2848751,10000,2843751,380
2846251,2856251,10000,2851251,381
2853751,2863751,10000,2858751,382
2861251,2871251,10000,2866251,383
2868751,2878751,10000,2873751,384
2876251,2886251,10000,2881251,385
2883751,2893751,10000,2888751,386
2891251,2901251,10000,2896251,387
2898751,2908751,10000,2903751,388
2906251,2916251,10000,2911251,389
2913751,2923751,10000,2918751,390
2921251,2931251,10000,2926251,391
2928751,2938751,10000,2933751,392
2936251,2946251,10000,2941251,393
2943751,2953751,10000,2948751,394
2951251,2961251,10000,2956251,395
2958751,2968751,10000,2963751,396
2966251,2976251,10000,2971251,397
2973751,2983751,10000,2978751,398
2981251,2991251,10000,2986251,399
2988751,2998751,10000,2993751,400
2996251,3006251,10000,3001251,401
3003751,3013751,10000,3008751,402
3011251,3021251,10000,3016251,403
3018751,3028751,10000,3023751,404
3026251,3036251,10000,3031251,405
3033751,3043751,10000,3038751,406
3041251,3051251,10000,3046251,407
3048751,3058751,10000,3053751,408
3056251,3066251,10000,3061251,409
3063751,3073751,10000,3068751,410
3071251,3081251,10000,3076251,411
3078751,3088751,10000,3083751,412
3086251,3096251,10000,3091251,413
3093751,3103751,10000,3098751,414
3101251,3111251,10000,3106251,415
3108751,3118751,10000,3113751,416
3116251,3126251,10000,3121251,417
3123751,3133751,10000,3128751,418
3131251,3141251,10000,3136251,419
3138751,3148751,10000,3143751,420
3146251,3156251,10000,3151251,421
3153751,3163751,10000,3158751,422
3161251,3171251,10000,3166251,423
3168751,3178751,10000,3173751,424
3176251,3186251,10000,3181251,425
3183751,3193751,10000,3188751,426
3191251,3201251,10000,3196251,427
3198751,3208751,10000,3203751,428
3206251,3216251,10000,3211251,429
3213751,3223751,10000,3218751,430
3221251,3231251,10000,3226251,431
3228751,3238751,10000,3233751,432
3236251,3246251,10000,3241251,433
3243751,3253751,10000,3248751,434
3251251,3261251,10000,3256251,435
3258751,3268751,10000,3263751,436
3266251,3276251,10000,3271251,437
3273751,3283751,10000,3278751,438
3281251,3291251,10000,3286251,439
3288751,3298751,10000,3293751,440
3296251,3306251,10000,3301251,441
3303751,3313751,10000,3308751,442
3311251,3321251,10000,3316251,443
3318751,3328751,10000,3323751,444
3326251,3336251,10000,3331251,445
3333751,3343751,10000,3338751,446
3341251,3351251,10000,3346251,447
3348751,3358751,10000,3353751,448
3356251,3366251,10000,3361251,449
3363751,3373751,10000,3368751,450
3371251,3381251,10000,3376251,451
3378751,3388751,10000,3383751,452
3386251,3396251,10000,3391251,453
3393751,3403751,10000,3398751,454
3401251,3411251,10000,3406251,455
3408751,3418751,10000,3413751,456
3416251,3426251,10000,3421251,457
3423751,3433751,10000,3428751,458
3431251,3441251,10000,3436251,459
3438751,3448751,10000,3443751,460
3446251,3456251,10000,3451251,461
3453751,3463751,10000,3458751,462
3461251,3471251,10000,3466251,463
3468751,3478751,10000,3473751,464
3476251,3486251,10000,3481251,465
3483751,3493751,10000,3488751,466
3491251,3501251,10000,3496251,467
3498751,3508751,10000,3503751,468
3506251,3516251,10000,3511251,469
3513751,3523751,10000,3518751,470
3521251,3531251,10000,3526251,471
3528751,3538751,10000,3533751,472
3536251,3546251,10000,3541251,473
3543751,3553751,10000,3548751,474
3551251,3561251,10000,3556251,475
3558751,3568751,10000,3563751,476
3566251,3576251,10000,3571251,477
3573751,3583751,10000,3578751,478
3581251,3591251,10000,3586251,479
3588751,3598751,10000,3593751,480
3596251,3606251,10000,3601251,481
3603751,3613751,10000,3608751,482
3611251,3621251,10000,3616251,483
3618751,3628751,10000,3623751,484
3626251,3636251,10000,3631251,485
3633751,3643751,10000,3638751,486
3641251,3651251,10000,3646251,487
3648751,3658751,10000,3653751,488
3656251,3666251,10000,3661251,489
3663751,3673751,10000,3668751,490
3671251,3681251,10000,3676251,491
3678751,3688751,10000,3683751,492
3686251,3696251,10000,3691251,493
